policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
random,0,7,26,23.816000000000006,24.0,4.0,0.0,20.0,1.0,0.0,470.39999999999884,11.76923076923077,20.0
random,1,8,26,14.96000000000002,22.0,3.0,0.0,19.0,1.0,0.0,527.9999999999985,10.038461538461538,19.0
random,2,9,26,-11.239999999999991,31.0,2.0,2.0,27.0,0.5,0.5,527.9999999999986,16.384615384615383,27.0
random,3,10,26,13.216000000000015,26.0,3.0,1.0,22.0,0.75,0.25,482.39999999999884,12.26923076923077,22.0
random,4,11,26,-9.175999999999984,22.0,1.0,0.0,21.0,1.0,0.0,597.5999999999985,13.461538461538462,21.0
random,5,12,26,-7.039999999999985,20.0,2.0,1.0,17.0,0.6666666666666666,0.3333333333333333,599.9999999999984,11.192307692307692,17.0
random,6,13,26,-20.75199999999999,30.0,1.0,1.0,28.0,0.5,0.5,535.1999999999985,15.884615384615385,28.0
random,7,14,26,35.86400000000002,24.0,5.0,0.0,19.0,1.0,0.0,477.59999999999854,9.73076923076923,19.0
random,8,15,26,23.024000000000008,20.0,4.0,0.0,16.0,1.0,0.0,573.5999999999985,11.346153846153847,17.0
random,9,16,26,20.856000000000012,29.0,4.0,1.0,24.0,0.8,0.2,470.3999999999988,14.76923076923077,24.0
random,10,17,26,-17.78399999999998,25.0,0.0,1.0,24.0,0.0,1.0,590.3999999999984,12.346153846153847,24.0
random,11,18,26,25.952000000000023,25.0,4.0,0.0,21.0,1.0,0.0,436.7999999999988,10.076923076923077,21.0
random,12,19,26,1.8400000000000167,27.0,3.0,2.0,22.0,0.6,0.4,515.9999999999985,13.346153846153847,22.0
random,13,20,26,32.000000000000014,28.0,5.0,1.0,22.0,0.8333333333333334,0.16666666666666666,539.9999999999986,12.846153846153847,22.0
random,14,21,26,21.208000000000006,31.0,4.0,1.0,26.0,0.8,0.2,415.199999999999,15.076923076923077,26.0
random,15,22,26,1.4320000000000155,30.0,2.0,0.0,28.0,1.0,0.0,496.7999999999985,14.153846153846153,28.0
random,16,23,26,6.24800000000001,21.0,2.0,0.0,19.0,1.0,0.0,547.1999999999986,8.692307692307692,19.0
random,17,24,26,-16.663999999999984,20.0,0.0,0.0,20.0,0.0,0.0,614.3999999999984,10.846153846153847,20.0
random,18,25,26,-12.951999999999988,31.0,3.0,4.0,24.0,0.42857142857142855,0.5714285714285714,607.1999999999986,17.076923076923077,27.0
random,19,26,26,-20.111999999999984,41.0,1.0,3.0,37.0,0.25,0.75,667.1999999999985,23.884615384615383,38.0
nearest,0,7,26,22.704000000000008,24.0,4.0,0.0,20.0,1.0,0.0,549.5999999999988,12.076923076923077,20.0
