policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
random,0,7,36,-82.35600000000001,76.0,5.0,8.0,63.0,0.38461538461538464,0.6153846153846154,1173.6000000000006,34.416666666666664,63.0
random,1,8,36,-70.524,65.0,3.0,4.0,58.0,0.42857142857142855,0.5714285714285714,1250.400000000001,28.38888888888889,58.0
random,2,9,36,-199.988,99.0,2.0,12.0,85.0,0.14285714285714285,0.8571428571428571,1264.8000000000006,51.916666666666664,86.0
random,3,10,36,-94.12,80.0,5.0,8.0,67.0,0.38461538461538464,0.6153846153846154,1212.0000000000005,35.138888888888886,67.0
random,4,11,36,-3.595999999999998,66.0,9.0,2.0,55.0,0.8181818181818182,0.18181818181818182,1101.6000000000004,30.36111111111111,55.0
random,5,12,36,-7.440000000000007,62.0,7.0,2.0,53.0,0.7777777777777778,0.2222222222222222,1128.0000000000005,27.416666666666668,53.0
random,6,13,36,-16.388000000000027,78.0,9.0,3.0,66.0,0.75,0.25,1012.800000000001,37.111111111111114,66.0
random,7,14,36,-31.84000000000001,72.0,6.0,3.0,63.0,0.6666666666666666,0.3333333333333333,1200.000000000001,33.97222222222222,63.0
random,8,15,36,-60.16000000000001,70.0,4.0,3.0,63.0,0.5714285714285714,0.42857142857142855,1296.0000000000005,32.833333333333336,63.0
random,9,16,36,-60.61599999999998,72.0,5.0,3.0,64.0,0.625,0.375,1185.6,33.55555555555556,64.0
random,10,17,36,-36.344,66.0,7.0,4.0,55.0,0.6363636363636364,0.36363636363636365,1070.4,31.88888888888889,56.0
random,11,18,36,-90.55600000000003,74.0,3.0,4.0,67.0,0.42857142857142855,0.5714285714285714,1149.6000000000013,33.80555555555556,67.0
random,12,19,36,-178.576,61.0,1.0,13.0,47.0,0.07142857142857142,0.9285714285714286,1257.6000000000008,31.805555555555557,48.0
random,13,20,36,-94.71600000000001,83.0,6.0,8.0,69.0,0.42857142857142855,0.5714285714285714,1089.6,40.72222222222222,70.0
