policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
random,0,7,26,-47.99999999999999,63.0,2.0,4.0,57.0,0.3333333333333333,0.6666666666666666,623.9999999999985,32.65384615384615,58.0
random,1,8,26,-40.03999999999999,43.0,1.0,2.0,40.0,0.3333333333333333,0.6666666666666666,611.9999999999985,24.46153846153846,40.0
random,2,9,26,-37.98399999999999,78.0,3.0,4.0,71.0,0.42857142857142855,0.5714285714285714,554.3999999999987,43.38461538461539,71.0
random,3,10,26,28.704,59.0,6.0,0.0,53.0,1.0,0.0,513.5999999999987,27.115384615384617,53.0
random,4,11,26,-21.40799999999999,51.0,3.0,2.0,46.0,0.6,0.4,556.7999999999985,26.576923076923077,46.0
random,5,12,26,18.816000000000013,51.0,5.0,0.0,46.0,1.0,0.0,470.3999999999988,27.115384615384617,46.0
random,6,13,26,17.048000000000012,60.0,5.0,1.0,54.0,0.8333333333333334,0.16666666666666666,415.1999999999989,29.73076923076923,54.0
random,7,14,26,-5.047999999999988,59.0,3.0,1.0,55.0,0.75,0.25,568.7999999999986,30.23076923076923,55.0
random,8,15,26,-21.215999999999987,55.0,2.0,1.0,52.0,0.6666666666666666,0.3333333333333333,585.5999999999983,26.307692307692307,52.0
random,9,16,26,-38.31199999999998,59.0,1.0,4.0,54.0,0.2,0.8,607.1999999999988,33.03846153846154,55.0
random,10,17,26,14.720000000000013,49.0,5.0,1.0,43.0,0.8333333333333334,0.16666666666666666,419.9999999999989,21.807692307692307,43.0
random,11,18,26,-18.19999999999999,63.0,3.0,2.0,58.0,0.6,0.4,563.9999999999989,33.46153846153846,58.0
random,12,19,26,-47.11199999999999,61.0,1.0,3.0,57.0,0.25,0.75,559.1999999999985,32.46153846153846,57.0
random,13,20,26,-33.41599999999998,76.0,2.0,3.0,71.0,0.4,0.6,597.5999999999983,38.61538461538461,71.0
random,14,21,26,-56.02399999999999,56.0,1.0,3.0,52.0,0.25,0.75,614.3999999999985,30.615384615384617,52.0
random,15,22,26,-37.527999999999984,66.0,0.0,3.0,63.0,0.0,1.0,652.7999999999984,32.23076923076923,65.0
random,16,23,26,-21.54399999999999,55.0,2.0,1.0,52.0,0.6666666666666666,0.3333333333333333,578.3999999999986,26.692307692307693,53.0
random,17,24,26,10.880000000000006,55.0,4.0,1.0,50.0,0.8,0.2,563.9999999999987,24.423076923076923,50.0
random,18,25,26,-16.591999999999985,62.0,4.0,2.0,56.0,0.6666666666666666,0.3333333333333333,499.1999999999987,32.42307692307692,56.0
random,19,26,26,-31.351999999999983,67.0,1.0,2.0,64.0,0.3333333333333333,0.6666666666666666,667.1999999999985,35.73076923076923,64.0
nearest,0,7,26,-47.49599999999999,63.0,3.0,4.0,56.0,0.42857142857142855,0.5714285714285714,633.5999999999985,32.03846153846154,57.0
nearest,1,8,26,24.063999999999993,43.0,6.0,1.0,36.0,0.8571428571428571,0.14285714285714285,465.5999999999991,21.76923076923077,36.0
nearest,2,9,26,-68.90399999999998,78.0,2.0,6.0,70.0,0.25,0.75,626.3999999999984,43.53846153846154,70.0
nearest,3,10,26,-3.783999999999983,59.0,4.0,2.0,53.0,0.6666666666666666,0.3333333333333333,590.3999999999988,28.76923076923077,53.0
nearest,4,11,26,-33.28799999999999,51.0,1.0,2.0,48.0,0.3333333333333333,0.6666666666666666,628.7999999999982,27.76923076923077,48.0
nearest,5,12,26,20.072,51.0,6.0,1.0,44.0,0.8571428571428571,0.14285714285714285,472.7999999999988,25.807692307692307,44.0
nearest,6,13,26,-13.799999999999985,60.0,4.0,2.0,54.0,0.6666666666666666,0.3333333333333333,503.99999999999864,29.692307692307693,54.0
nearest,7,14,26,5.848000000000006,59.0,5.0,1.0,53.0,0.8333333333333334,0.16666666666666666,523.1999999999987,29.73076923076923,53.0
nearest,8,15,26,30.96000000000001,55.0,6.0,1.0,48.0,0.8571428571428571,0.14285714285714285,527.9999999999986,24.615384615384617,48.0
nearest,9,16,26,34.54400000000001,59.0,7.0,0.0,52.0,1.0,0.0,477.599999999999,31.46153846153846,52.0
nearest,10,17,26,2.20800000000001,49.0,3.0,1.0,45.0,0.75,0.25,559.1999999999986,22.96153846153846,45.0
nearest,11,18,26,26.272000000000016,63.0,7.0,2.0,54.0,0.7777777777777778,0.2222222222222222,388.79999999999905,30.692307692307693,55.0
nearest,12,19,26,-26.031999999999986,61.0,3.0,2.0,56.0,0.6,0.4,535.1999999999989,31.615384615384617,56.0
nearest,13,20,26,-22.73599999999999,76.0,3.0,3.0,70.0,0.5,0.5,597.5999999999983,37.92307692307692,70.0
nearest,14,21,26,-35.30399999999999,56.0,2.0,3.0,51.0,0.4,0.6,614.3999999999985,29.884615384615383,51.0
nearest,15,22,26,-26.599999999999984,66.0,1.0,2.0,63.0,0.3333333333333333,0.6666666666666666,623.9999999999985,31.615384615384617,64.0
nearest,16,23,26,-22.551999999999985,55.0,1.0,0.0,54.0,1.0,0.0,667.1999999999985,26.884615384615383,54.0
nearest,17,24,26,-19.807999999999993,55.0,2.0,2.0,51.0,0.5,0.5,604.7999999999986,24.73076923076923,51.0
nearest,18,25,26,-17.32799999999999,62.0,4.0,2.0,56.0,0.6666666666666666,0.3333333333333333,556.7999999999987,32.57692307692308,56.0
nearest,19,26,26,-31.43199999999998,67.0,1.0,2.0,64.0,0.3333333333333333,0.6666666666666666,679.1999999999986,35.69230769230769,64.0
edf,0,7,26,-37.127999999999986,63.0,3.0,4.0,56.0,0.42857142857142855,0.5714285714285714,604.7999999999986,31.96153846153846,57.0
edf,1,8,26,12.32800000000001,43.0,5.0,1.0,37.0,0.8333333333333334,0.16666666666666666,523.1999999999988,22.923076923076923,37.0
edf,2,9,26,-58.47199999999998,78.0,3.0,4.0,71.0,0.42857142857142855,0.5714285714285714,595.1999999999987,43.46153846153846,71.0
edf,3,10,26,-13.783999999999985,59.0,4.0,2.0,53.0,0.6666666666666666,0.3333333333333333,590.3999999999988,28.76923076923077,53.0
edf,4,11,26,-43.447999999999986,51.0,1.0,2.0,48.0,0.3333333333333333,0.6666666666666666,640.7999999999984,27.807692307692307,48.0
edf,5,12,26,-13.383999999999979,51.0,2.0,0.0,49.0,1.0,0.0,602.3999999999985,28.076923076923077,49.0
edf,6,13,26,-4.743999999999989,60.0,4.0,1.0,55.0,0.8,0.2,542.3999999999987,30.26923076923077,55.0
edf,7,14,26,-25.727999999999987,59.0,3.0,2.0,54.0,0.6,0.4,604.7999999999986,30.5,54.0
edf,8,15,26,-10.583999999999985,55.0,3.0,1.0,51.0,0.75,0.25,614.3999999999985,25.384615384615383,51.0
edf,9,16,26,-47.50399999999999,59.0,2.0,3.0,54.0,0.4,0.6,578.3999999999987,32.53846153846154,55.0
edf,10,17,26,-18.655999999999995,49.0,2.0,1.0,46.0,0.6666666666666666,0.3333333333333333,609.5999999999983,23.346153846153847,46.0
edf,11,18,26,-5.791999999999991,63.0,5.0,2.0,56.0,0.7142857142857143,0.2857142857142857,487.19999999999874,31.807692307692307,57.0
edf,12,19,26,-26.031999999999986,61.0,3.0,2.0,56.0,0.6,0.4,535.1999999999989,31.615384615384617,56.0
edf,13,20,26,-53.55999999999999,76.0,2.0,3.0,71.0,0.4,0.6,611.9999999999985,38.61538461538461,71.0
edf,14,21,26,-56.31199999999998,56.0,1.0,3.0,52.0,0.25,0.75,643.1999999999985,30.615384615384617,52.0
edf,15,22,26,-46.59999999999998,66.0,1.0,2.0,63.0,0.3333333333333333,0.6666666666666666,623.9999999999986,31.615384615384617,64.0
edf,16,23,26,-22.551999999999985,55.0,1.0,0.0,54.0,1.0,0.0,667.1999999999985,26.884615384615383,54.0
edf,17,24,26,-20.29599999999999,55.0,2.0,1.0,52.0,0.6666666666666666,0.3333333333333333,633.5999999999987,24.96153846153846,52.0
edf,18,25,26,-37.32799999999999,62.0,3.0,3.0,56.0,0.5,0.5,556.7999999999987,32.57692307692308,56.0
edf,19,26,26,-30.927999999999983,67.0,2.0,1.0,64.0,0.6666666666666666,0.3333333333333333,664.7999999999985,35.34615384615385,64.0
slo-risk,0,7,26,-47.65599999999999,63.0,3.0,4.0,56.0,0.42857142857142855,0.5714285714285714,633.5999999999988,32.19230769230769,57.0
slo-risk,1,8,26,12.32800000000001,43.0,5.0,1.0,37.0,0.8333333333333334,0.16666666666666666,523.1999999999988,22.923076923076923,37.0
slo-risk,2,9,26,-58.47199999999998,78.0,3.0,4.0,71.0,0.42857142857142855,0.5714285714285714,595.1999999999987,43.46153846153846,71.0
slo-risk,3,10,26,-23.663999999999987,59.0,3.0,2.0,54.0,0.6,0.4,590.3999999999986,28.692307692307693,54.0
slo-risk,4,11,26,-43.447999999999986,51.0,1.0,2.0,48.0,0.3333333333333333,0.6666666666666666,640.7999999999984,27.807692307692307,48.0
slo-risk,5,12,26,-13.383999999999979,51.0,2.0,0.0,49.0,1.0,0.0,602.3999999999985,28.076923076923077,49.0
slo-risk,6,13,26,-36.60799999999998,60.0,1.0,2.0,57.0,0.3333333333333333,0.6666666666666666,628.7999999999984,31.307692307692307,57.0
slo-risk,7,14,26,-15.631999999999987,59.0,3.0,1.0,55.0,0.75,0.25,595.1999999999985,30.53846153846154,55.0
slo-risk,8,15,26,0.008000000000020435,55.0,4.0,1.0,50.0,0.8,0.2,571.1999999999986,25.192307692307693,50.0
slo-risk,9,16,26,-37.50399999999999,59.0,2.0,3.0,54.0,0.4,0.6,578.3999999999986,32.53846153846154,55.0
slo-risk,10,17,26,-18.655999999999995,49.0,2.0,1.0,46.0,0.6666666666666666,0.3333333333333333,609.5999999999984,23.346153846153847,46.0
slo-risk,11,18,26,-5.991999999999993,63.0,5.0,2.0,56.0,0.7142857142857143,0.2857142857142857,487.19999999999874,32.0,58.0
slo-risk,12,19,26,-26.031999999999986,61.0,3.0,2.0,56.0,0.6,0.4,535.1999999999989,31.615384615384617,56.0
slo-risk,13,20,26,-43.55999999999999,76.0,2.0,3.0,71.0,0.4,0.6,611.9999999999983,38.61538461538461,71.0
slo-risk,14,21,26,-56.31199999999998,56.0,1.0,3.0,52.0,0.25,0.75,643.1999999999985,30.615384615384617,52.0
slo-risk,15,22,26,-36.59999999999999,66.0,1.0,2.0,63.0,0.3333333333333333,0.6666666666666666,623.9999999999986,31.615384615384617,64.0
slo-risk,16,23,26,-22.551999999999985,55.0,1.0,0.0,54.0,1.0,0.0,667.1999999999985,26.884615384615383,54.0
slo-risk,17,24,26,-10.679999999999986,55.0,2.0,1.0,52.0,0.6666666666666666,0.3333333333333333,647.9999999999986,25.192307692307693,52.0
slo-risk,18,25,26,-17.32799999999999,62.0,3.0,2.0,57.0,0.6,0.4,556.7999999999986,32.61538461538461,57.0
slo-risk,19,26,26,-20.927999999999983,67.0,2.0,1.0,64.0,0.6666666666666666,0.3333333333333333,664.7999999999985,35.34615384615385,64.0
