policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
random,0,7,26,-18.111999999999988,47.0,3.0,3.0,41.0,0.5,0.5,571.1999999999986,23.03846153846154,41.0
random,1,8,26,5.384000000000006,37.0,3.0,0.0,34.0,1.0,0.0,525.5999999999988,19.846153846153847,34.0
random,2,9,26,0.33600000000001673,60.0,4.0,2.0,54.0,0.6666666666666666,0.3333333333333333,554.3999999999987,34.73076923076923,55.0
random,3,10,26,18.62400000000001,37.0,4.0,1.0,32.0,0.8,0.2,477.5999999999989,17.115384615384617,32.0
random,4,11,26,35.024000000000015,40.0,6.0,2.0,32.0,0.75,0.25,537.5999999999987,20.03846153846154,33.0
random,5,12,26,24.423999999999996,37.0,5.0,0.0,32.0,1.0,0.0,477.59999999999894,21.115384615384617,32.0
random,6,13,26,-19.767999999999994,51.0,3.0,2.0,46.0,0.6,0.4,496.7999999999987,25.576923076923077,46.0
random,7,14,26,10.632000000000007,50.0,5.0,1.0,44.0,0.8333333333333334,0.16666666666666666,496.7999999999988,25.03846153846154,44.0
random,8,15,26,4.952000000000017,39.0,3.0,1.0,35.0,0.75,0.25,628.7999999999984,19.307692307692307,35.0
random,9,16,26,13.46400000000001,45.0,4.0,2.0,39.0,0.6666666666666666,0.3333333333333333,453.599999999999,22.615384615384617,39.0
random,10,17,26,8.144000000000013,40.0,3.0,1.0,36.0,0.75,0.25,513.5999999999987,17.384615384615383,36.0
random,11,18,26,13.808000000000014,46.0,4.0,2.0,40.0,0.6666666666666666,0.3333333333333333,535.1999999999988,21.5,40.0
random,12,19,26,-8.59999999999999,44.0,4.0,2.0,38.0,0.6666666666666666,0.3333333333333333,503.9999999999985,24.076923076923077,38.0
random,13,20,26,28.81600000000002,55.0,6.0,2.0,47.0,0.75,0.25,470.39999999999884,27.153846153846153,47.0
random,14,21,26,-40.36799999999998,46.0,1.0,3.0,42.0,0.25,0.75,628.7999999999985,24.653846153846153,42.0
random,15,22,26,-6.895999999999985,55.0,2.0,1.0,52.0,0.6666666666666666,0.3333333333333333,489.5999999999986,23.153846153846153,52.0
random,16,23,26,14.32000000000001,44.0,4.0,0.0,40.0,1.0,0.0,539.9999999999985,21.0,40.0
random,17,24,26,7.576000000000015,38.0,3.0,0.0,35.0,1.0,0.0,566.3999999999985,17.423076923076923,35.0
random,18,25,26,-32.871999999999986,47.0,1.0,3.0,43.0,0.25,0.75,643.1999999999983,26.96153846153846,43.0
random,19,26,26,-17.207999999999984,58.0,2.0,1.0,55.0,0.6666666666666666,0.3333333333333333,652.7999999999985,31.53846153846154,55.0
nearest,0,7,26,-18.32799999999999,47.0,3.0,4.0,40.0,0.42857142857142855,0.5714285714285714,592.7999999999986,23.0,41.0
nearest,1,8,26,37.19200000000001,37.0,6.0,0.0,31.0,1.0,0.0,484.7999999999987,18.384615384615383,31.0
nearest,2,9,26,-50.831999999999994,60.0,2.0,4.0,54.0,0.3333333333333333,0.6666666666666666,607.1999999999985,35.34615384615385,56.0
