policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
random,0,7,26,-17.647999999999985,47.0,3.0,2.0,42.0,0.6,0.4,556.7999999999986,22.76923076923077,42.0
random,1,8,26,-5.14399999999998,37.0,2.0,0.0,35.0,1.0,0.0,542.3999999999986,20.23076923076923,35.0
random,2,9,26,-40.81599999999999,60.0,2.0,3.0,55.0,0.4,0.6,597.5999999999987,35.46153846153846,57.0
random,3,10,26,-3.511999999999988,37.0,3.0,1.0,33.0,0.75,0.25,607.1999999999985,17.96153846153846,33.0
random,4,11,26,-26.039999999999985,40.0,2.0,2.0,36.0,0.5,0.5,599.9999999999985,20.615384615384617,36.0
random,5,12,26,2.9360000000000195,37.0,3.0,0.0,34.0,1.0,0.0,554.3999999999985,21.884615384615383,34.0
random,6,13,26,0.6080000000000139,51.0,4.0,2.0,45.0,0.6666666666666666,0.3333333333333333,487.1999999999987,25.26923076923077,46.0
random,7,14,26,-1.007999999999986,50.0,3.0,1.0,46.0,0.75,0.25,568.7999999999986,26.0,46.0
random,8,15,26,6.59200000000002,39.0,4.0,1.0,34.0,0.8,0.2,544.7999999999986,18.5,34.0
random,9,16,26,12.872000000000007,45.0,5.0,2.0,38.0,0.7142857142857143,0.2857142857142857,496.7999999999988,22.73076923076923,38.0
random,10,17,26,-2.3119999999999816,40.0,2.0,0.0,38.0,1.0,0.0,523.1999999999985,17.807692307692307,38.0
random,11,18,26,-26.959999999999987,46.0,2.0,3.0,41.0,0.4,0.6,563.9999999999987,22.0,41.0
random,12,19,26,-50.83199999999998,44.0,1.0,3.0,40.0,0.25,0.75,559.1999999999985,25.76923076923077,40.0
random,13,20,26,-13.711999999999987,55.0,3.0,3.0,49.0,0.5,0.5,583.1999999999986,28.576923076923077,49.0
random,14,21,26,-50.32799999999998,46.0,1.0,3.0,42.0,0.25,0.75,628.7999999999984,24.615384615384617,42.0
random,15,22,26,4.760000000000005,55.0,4.0,1.0,50.0,0.8,0.2,383.9999999999991,22.5,50.0
random,16,23,26,4.13600000000001,44.0,3.0,0.0,41.0,1.0,0.0,566.3999999999986,20.96153846153846,41.0
random,17,24,26,-14.079999999999988,38.0,1.0,0.0,37.0,1.0,0.0,611.9999999999984,18.653846153846153,37.0
random,18,25,26,20.152000000000005,47.0,5.0,0.0,42.0,1.0,0.0,484.7999999999988,25.53846153846154,42.0
random,19,26,26,-27.63199999999999,58.0,1.0,2.0,55.0,0.3333333333333333,0.6666666666666666,667.1999999999985,31.807692307692307,55.0
nearest,0,7,26,-18.551999999999985,47.0,3.0,3.0,41.0,0.5,0.5,607.1999999999985,23.115384615384617,42.0
nearest,1,8,26,26.184000000000015,37.0,5.0,0.0,32.0,1.0,0.0,513.5999999999987,19.115384615384617,32.0
nearest,2,9,26,-9.487999999999985,60.0,4.0,2.0,54.0,0.6666666666666666,0.3333333333333333,568.7999999999986,34.42307692307692,55.0
nearest,3,10,26,-3.327999999999993,37.0,3.0,2.0,32.0,0.6,0.4,604.7999999999986,17.76923076923077,32.0
nearest,4,11,26,-27.087999999999983,40.0,1.0,2.0,37.0,0.3333333333333333,0.6666666666666666,628.7999999999984,21.384615384615383,37.0
