policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
random,0,1007,11,4.912000000000003,14.0,1.0,0.0,13.0,1.0,0.0,208.7999999999998,8.0,13.0
random,1,1008,11,7.296000000000001,6.0,1.0,0.0,5.0,1.0,0.0,146.3999999999998,3.1818181818181817,5.0
nearest,0,1007,11,15.2,14.0,2.0,0.0,12.0,1.0,0.0,191.99999999999994,7.636363636363637,12.0
nearest,1,1008,11,17.096000000000004,6.0,2.0,0.0,4.0,1.0,0.0,182.39999999999984,2.727272727272727,4.0
edf,0,1007,11,15.296,14.0,2.0,0.0,12.0,1.0,0.0,194.3999999999999,7.363636363636363,12.0
edf,1,1008,11,17.096000000000004,6.0,2.0,0.0,4.0,1.0,0.0,182.39999999999984,2.727272727272727,4.0
slo-risk,0,1007,11,5.256,14.0,1.0,0.0,13.0,1.0,0.0,194.3999999999999,7.545454545454546,13.0
slo-risk,1,1008,11,17.096000000000004,6.0,2.0,0.0,4.0,1.0,0.0,182.39999999999984,2.727272727272727,4.0
rllib-ppo,0,1007,11,5.055999999999999,14.0,1.0,0.0,13.0,1.0,0.0,206.39999999999992,7.7272727272727275,13.0
rllib-ppo,1,1008,11,7.280000000000003,6.0,1.0,0.0,5.0,1.0,0.0,143.99999999999983,3.272727272727273,5.0
